design,cluster,coll,workflow,binder,kd,arch
MUNI_brisk-crane-granite,8,Muni,muni,,,F3
MUNI_deep-gecko-maple,8,Muni,muni,,,F3
MUNI_gentle-lion-rose,8,Muni,muni,,,F3
MUNI_noble-bison-opal,8,Muni,muni,,,F3
MUNI_noble-boar-reed,13,Muni,muni,,,F1
MUNI_quiet-quail-fern,8,Muni,muni,,,F3
MUNI_shy-boar-vine,6,Muni,muni,,,singletons
MUNI_silver-hawk-frost,13,Muni,muni,,,F1
MUNI_soft-mole-rose,8,Muni,muni,,,F3
MUNI_steady-panda-ember,8,Muni,muni,,,F3
mythos_preview_multi_target_trem2_rank01,12,Anthropic,mythos_preview_multi,True,0.030545594000000002,F2
mythos_preview_multi_target_trem2_rank02,12,Anthropic,mythos_preview_multi,True,1.4230010934,F2
mythos_preview_multi_target_trem2_rank03,12,Anthropic,mythos_preview_multi,True,0.1893756128,F2
mythos_preview_multi_target_trem2_rank04,13,Anthropic,mythos_preview_multi,True,0.5326363317,F1
mythos_preview_multi_target_trem2_rank05,13,Anthropic,mythos_preview_multi,True,0.0462464567,F1
mythos_preview_multi_target_trem2_rank06,13,Anthropic,mythos_preview_multi,False,,F1
mythos_preview_multi_target_trem2_rank07,12,Anthropic,mythos_preview_multi,True,0.07320044540000001,F2
mythos_preview_multi_target_trem2_rank08,13,Anthropic,mythos_preview_multi,True,0.3299883926,F1
mythos_preview_multi_target_trem2_rank09,13,Anthropic,mythos_preview_multi,True,13.3342188576,F1
mythos_preview_multi_target_trem2_rank10,13,Anthropic,mythos_preview_multi,True,0.23774616040000002,F1
mythos_preview_multi_target_trem2_rank11,4,Anthropic,mythos_preview_multi,True,0.5109472977,F4
mythos_preview_multi_target_trem2_rank12,13,Anthropic,mythos_preview_multi,True,0.5977727949,F1
mythos_preview_multi_target_trem2_rank13,5,Anthropic,mythos_preview_multi,True,0.3902847404,singletons
mythos_preview_multi_target_trem2_rank14,4,Anthropic,mythos_preview_multi,True,4.1879556222,F4
mythos_preview_multi_target_trem2_rank15,13,Anthropic,mythos_preview_multi,True,0.274915052,F1
mythos_preview_multi_target_trem2_rank16,13,Anthropic,mythos_preview_multi,True,0.493,F1
mythos_preview_multi_target_trem2_rank17,5,Anthropic,mythos_preview_multi,True,3.5244975126,singletons
mythos_preview_multi_target_trem2_rank18,9,Anthropic,mythos_preview_multi,True,0.186061891,singletons
mythos_preview_multi_target_trem2_rank19,13,Anthropic,mythos_preview_multi,True,0.2358752814,F1
