full_name,step_index,step_type,tool,tool_display,round_index,params_json,ancestor_design_id,notes,workflow
mythos_preview_multi_target_trem2_rank01,0,backbone_generation,rfdiffusion3,RFdiffusion3,,"{'generator': 'RFdiffusion3', 'class': 'diffusion', 'root_backbone_id': 'bb_e096072452'}",bb_e096072452,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,1,sequence_design,solublempnn,SolubleMPNN,,{},bb_e096072452,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,2,filter/refold,screen_refold,"In-loop refold screen (Protenix, 1 seed)",,"{'instrument': 'ptxv2', 'ipSAE': 0.855666, 'sc_DockQ': 0.62335}",bb_e096072452,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,3,optimization,predict_redesign,"Predict-and-redesign (co-fold complex, redesign sequence on predicted pose with MPNN-family model)",1.0,"{'round': 1, 'seq_model': 'SolubleMPNN', 'strategy': 'predict_redesign'}",lin_36bdadbf60,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,4,filter/refold,screen_refold,"In-loop refold screen (Protenix, 1 seed)",,{'instrument': 'ptxv2'},lin_36bdadbf60,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,5,optimization,predict_redesign,"Predict-and-redesign (co-fold complex, redesign sequence on predicted pose with MPNN-family model)",2.0,"{'redesign_on_prediction_from': 'ptxv2', 'round': 2, 'seq_model': 'SolubleMPNN', 'strategy': 'predict_redesign'}",lin_d22655d4c8,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,6,filter/refold,screen_refold,"In-loop refold screen (Protenix, 1 seed)",,"{'instrument': 'ptxv2', 'ipSAE': 0.749627, 'sc_DockQ': 0.561664}",lin_d22655d4c8,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,7,optimization,predict_redesign,"Predict-and-redesign (co-fold complex, redesign sequence on predicted pose with MPNN-family model)",3.0,"{'redesign_on_prediction_from': 'ptxv2', 'round': 3, 'seq_model': 'SolubleMPNN', 'strategy': 'predict_redesign'}",lin_ff76bfad2f,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,8,filter/refold,screen_refold,"In-loop refold screen (Protenix, 1 seed)",,"{'instrument': 'ptxv2', 'ipSAE': 0.759754, 'sc_DockQ': 0.545452}",lin_ff76bfad2f,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,9,optimization,predict_redesign,"Predict-and-redesign (co-fold complex, redesign sequence on predicted pose with MPNN-family model)",4.0,"{'redesign_on_prediction_from': 'ptxv2', 'round': 4, 'seq_model': 'SolubleMPNN', 'strategy': 'predict_redesign'}",lin_fb0096f3d2,,mythos_preview_multi
mythos_preview_multi_target_trem2_rank01,10,filter/refold,screen_refold,"In-loop refold screen (Protenix, 1 seed)",,"{'instrument': 'ptxv2', 'ipSAE': 0.789946, 'sc_DockQ': 0.575345}",lin_fb0096f3d2,,mythos_preview_multi
