design,collection,best_tm,best_tm_partner,best_sid_global,mmseqs_fident,mmseqs_cov,gate_reject
mythos_preview_multi_target_trem2_rank01,Anthropic,0.7981,HACK_vast-otter-topaz,42.028985507246375,57.599999999999994,37.7,False
mythos_preview_multi_target_trem2_rank02,Anthropic,0.7985,HACK_mellow-goat-vine,43.47826086956522,46.9,87.0,False
mythos_preview_multi_target_trem2_rank03,Anthropic,0.7937,HACK_hollow-boar-wave,41.666666666666664,,,False
mythos_preview_multi_target_trem2_rank04,Anthropic,0.7851,HACK_crimson-yak-willow,40.0,47.599999999999994,25.0,False
mythos_preview_multi_target_trem2_rank05,Anthropic,0.7699,HACK_crimson-jaguar-willow,46.42857142857143,,,False
mythos_preview_multi_target_trem2_rank06,Anthropic,0.8856,HACK_gentle-swan-clay,47.45762711864407,85.7,11.899999999999999,False
mythos_preview_multi_target_trem2_rank07,Anthropic,0.7784,HACK_hollow-boar-wave,37.93103448275862,,,False
mythos_preview_multi_target_trem2_rank08,Anthropic,0.7746,HACK_silent-jaguar-clay,37.64705882352941,46.1,28.9,False
mythos_preview_multi_target_trem2_rank09,Anthropic,0.9136,HACK_gentle-swan-clay,42.3728813559322,,,False
mythos_preview_multi_target_trem2_rank10,Anthropic,0.7984,HACK_silent-jaguar-clay,43.54838709677419,33.300000000000004,46.2,False
mythos_preview_multi_target_trem2_rank11,Anthropic,0.6797,HACK_amber-swan-opal,45.070422535211264,,,False
mythos_preview_multi_target_trem2_rank12,Anthropic,0.795,HACK_silent-jaguar-clay,35.0,33.300000000000004,76.0,False
mythos_preview_multi_target_trem2_rank13,Anthropic,0.7351,HACK_violet-goat-flint,35.38461538461539,72.7,16.900000000000002,False
mythos_preview_multi_target_trem2_rank14,Anthropic,0.7204,HACK_amber-swan-opal,39.436619718309856,,,False
mythos_preview_multi_target_trem2_rank15,Anthropic,0.7738,HACK_silent-jaguar-clay,38.8235294117647,55.00000000000001,22.2,False
mythos_preview_multi_target_trem2_rank16,Anthropic,0.8696,HACK_crimson-yak-willow,58.333333333333336,66.60000000000001,19.400000000000002,False
mythos_preview_multi_target_trem2_rank17,Anthropic,0.6915,HACK_gentle-seal-ruby,40.0,62.5,24.6,False
mythos_preview_multi_target_trem2_rank18,Anthropic,0.7187,HACK_lunar-deer-snow,32.35294117647059,31.8,24.4,False
mythos_preview_multi_target_trem2_rank19,Anthropic,0.8576,HACK_rough-panda-ivy,33.87096774193548,36.3,36.8,False
mythos_preview_multi_target_trem2_rank20,Anthropic,0.8342,HACK_solid-ox-moss,41.666666666666664,71.39999999999999,19.1,False
mythos_preview_multi_target_trem2_rank21,Anthropic,0.7874,HACK_silent-jaguar-clay,32.0,39.300000000000004,41.199999999999996,False
mythos_preview_multi_target_trem2_rank22,Anthropic,0.7209,HACK_lunar-deer-snow,37.5,32.1,64.60000000000001,False
mythos_preview_multi_target_trem2_rank23,Anthropic,0.7204,HACK_lunar-deer-snow,33.75,53.300000000000004,12.7,False
mythos_preview_multi_target_trem2_rank24,Anthropic,0.7766,HACK_calm-jaguar-stone,33.87096774193548,69.19999999999999,14.799999999999999,False
mythos_preview_multi_target_trem2_rank25,Anthropic,0.6931,HACK_scarlet-mole-vine,35.483870967741936,63.6,18.3,False
mythos_preview_multi_target_trem2_rank26,Anthropic,0.9678,HACK_gentle-swan-clay,37.5,47.199999999999996,56.2,False
mythos_preview_multi_target_trem2_rank27,Anthropic,0.7213,HACK_calm-bison-willow,41.666666666666664,31.0,72.5,False
mythos_preview_multi_target_trem2_rank28,Anthropic,0.8221,HACK_ivory-orca-oak,37.3134328358209,47.599999999999994,31.3,False
