full_name,workflow,model_name,campaign,rank,binder_final,kd_nM_final,denovo_structure_method,denovo_method_class,sequence_design_method,was_optimized,n_optimization_rounds,optimization_strategies,optimization_strategy_class,used_caliby_any,predict_redesign_seq_model,predict_redesign_predictor,screen_instrument_in_loop,final_gate_instruments,final_refine_step,final_sequence_step,n_steps,pipeline_n_modifying_steps,n_screens_in_lineage,n_ancestors_in_lineage,root_backbone_id,parent_design_id,design_id,fold_class_designed,binder_len,lcp_score,esmc_log_likelihood,seq_shannon_entropy_bits,seq_n_cys,uuid
mythos_preview_multi_target_trem2_rank01,mythos_preview_multi,Mythos Preview,multi-target,1,True,0.030545594,RFdiffusion3,diffusion,SolubleMPNN,True,5,predict-and-redesign x5,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),15,6,5,4,bb_e096072452,,lin_63437fa547,all-α,69,444.5146839495935,-1.546875,3.1108,0,ca15d0ff-7017-50c4-b2f1-4eb4d34f5c70
mythos_preview_multi_target_trem2_rank02,mythos_preview_multi,Mythos Preview,multi-target,2,True,1.4230010934,RFdiffusion3,diffusion,SolubleMPNN,True,3,predict-and-redesign x3,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),11,5,4,3,bb_e096072452,,lin_0c22df8f30,all-α,69,508.9757300469528,-1.4140625,3.0493,0,8778ffd4-3fa1-5a37-954d-e700232c4df3
mythos_preview_multi_target_trem2_rank03,mythos_preview_multi,Mythos Preview,multi-target,3,True,0.1893756128,RFdiffusion3,diffusion,SolubleMPNN,True,3,predict-and-redesign x3,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),11,5,4,3,bb_5b5a79a849,,lin_461f8710c3,all-α,87,449.866450368018,-1.6484375,3.2121,0,7ad5a57c-e92b-5cd7-b647-5447ff6381a1
mythos_preview_multi_target_trem2_rank04,mythos_preview_multi,Mythos Preview,multi-target,4,True,0.5326363317,RFdiffusion3,diffusion,SolubleMPNN,True,4,point-mutation scan x3;predict-and-redesign,Mixed,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),13,5,4,3,bb_828ba1735f,,lin_059574d209,all-α,120,1279.0675988936362,-1.359375,3.0385,0,3e2d19a6-9b89-5c50-a17e-bb39e76906f4
mythos_preview_multi_target_trem2_rank05,mythos_preview_multi,Mythos Preview,multi-target,5,True,0.0462464567,RFdiffusion3,diffusion,SolubleMPNN,True,7,predict-and-redesign x7,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),19,8,7,5,bb_828ba1735f,,lin_9d05f5331a,all-α,120,1292.7509185750437,-1.40625,3.1088,0,3805de81-6846-5d30-912f-f5e827f67fd9
mythos_preview_multi_target_trem2_rank06,mythos_preview_multi,Mythos Preview,multi-target,6,False,,BoltzGen,diffusion,SolubleMPNN,True,3,predict-and-redesign x3,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),11,5,4,3,bb_b808dbdadd,,lin_ade701fa50,all-α,59,942.0227793313588,-1.7421875,3.0127,0,e51ec8a4-e63d-59d5-ad07-1fa37ca8d936
mythos_preview_multi_target_trem2_rank07,mythos_preview_multi,Mythos Preview,multi-target,7,True,0.0732004454,RFdiffusion3,diffusion,SolubleMPNN,True,5,predict-and-redesign x5,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),15,6,5,4,bb_5b5a79a849,,lin_0f283ced30,all-α,87,371.81387909397057,-1.5703125,3.3098,0,40e0903b-7776-5cef-88e3-64babefe34ba
mythos_preview_multi_target_trem2_rank08,mythos_preview_multi,Mythos Preview,multi-target,8,True,0.3299883926,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,True,3,predict-and-redesign x2;point-mutation scan,Mixed,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Point-mutation scan + refold,11,5,4,3,bb_27df7dd200,,lin_ae85085d98,all-α,91,466.1037908651165,-1.6953125,3.3521,0,380402b4-e253-5118-b3e5-3115dbfa5c43
mythos_preview_multi_target_trem2_rank09,mythos_preview_multi,Mythos Preview,multi-target,9,True,13.3342188576,BoltzGen,diffusion,SolubleMPNN,True,3,predict-and-redesign x3,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),11,5,4,3,bb_b808dbdadd,,lin_84e5448d15,all-α,59,618.3570750454135,-1.46875,3.1461,0,4609be01-1964-564b-bb2d-ee8e6c9a0649
mythos_preview_multi_target_trem2_rank10,mythos_preview_multi,Mythos Preview,multi-target,10,True,0.2377461604,FreeBindCraft (BindCraft),hallucination/AF2-based,SolubleMPNN,True,3,predict-and-redesign x3,Predict-&-redesign,False,SolubleMPNN,Protenix (ptxv2 arm),"Protenix (ptxv2), 1 seed per screen","Protenix (ptxv2 arm),ESMFold2 (full),ESMFold2-Fast",,Predict-and-redesign (SolubleMPNN on predicted pose),11,5,4,3,bb_27df7dd200,,lin_5ae082a4b4,all-α,91,355.3717953997367,-1.7265625,3.3747,0,e5053b77-2748-51e0-935f-b5ab4afcd733
