design,collection,best_tm_own,best_tm_other,best_sid_own,best_sid_other,nearest_other
MUNI_brisk-crane-granite,Muni,0.9832,0.7713,52.5,33.898305084745765,opus_4_8_multi_target_trem2_rank03
MUNI_deep-gecko-maple,Muni,0.9954,0.7548,93.75,32.857142857142854,opus_4_8_multi_target_trem2_rank03
MUNI_gentle-lion-rose,Muni,0.9832,0.82,57.5,30.985915492957748,mythos_preview_single_target_trem2_rank26
MUNI_noble-bison-opal,Muni,0.9637,0.7801,41.25,30.985915492957748,opus_4_8_multi_target_trem2_rank01
MUNI_noble-boar-reed,Muni,0.9978,0.8256,95.48872180451127,32.25806451612903,opus_4_8_multi_target_trem2_rank29
MUNI_quiet-quail-fern,Muni,0.646,0.8407,25.161290322580644,28.169014084507044,opus_4_8_multi_target_trem2_rank20
MUNI_shy-boar-vine,Muni,0.6204,0.8545,28.155339805825243,31.428571428571427,opus_4_8_multi_target_trem2_rank02
MUNI_silver-hawk-frost,Muni,0.9978,0.8319,95.48872180451127,32.25806451612903,mythos_preview_single_target_trem2_rank16
MUNI_soft-mole-rose,Muni,0.9444,0.7398,40.0,33.80281690140845,mythos_preview_single_target_trem2_rank30
MUNI_steady-panda-ember,Muni,0.9954,0.7599,93.75,32.857142857142854,opus_4_8_multi_target_trem2_rank03
mythos_preview_multi_target_trem2_rank01,Anthropic,0.9903,0.6308,62.31884057971015,26.08695652173913,MUNI_soft-mole-rose
mythos_preview_multi_target_trem2_rank02,Anthropic,0.9903,0.6642,62.31884057971015,30.434782608695652,MUNI_shy-boar-vine
mythos_preview_multi_target_trem2_rank03,Anthropic,0.9842,0.6381,70.11494252873563,27.586206896551722,MUNI_gentle-lion-rose
mythos_preview_multi_target_trem2_rank04,Anthropic,0.9874,0.6561,70.0,24.166666666666668,MUNI_noble-boar-reed
mythos_preview_multi_target_trem2_rank05,Anthropic,0.9874,0.6468,70.0,25.0,MUNI_noble-boar-reed
mythos_preview_multi_target_trem2_rank06,Anthropic,0.9929,0.7516,76.27118644067797,33.898305084745765,MUNI_silver-hawk-frost
mythos_preview_multi_target_trem2_rank07,Anthropic,0.9842,0.5325,70.11494252873563,24.137931034482758,MUNI_quiet-quail-fern
mythos_preview_multi_target_trem2_rank08,Anthropic,0.9832,0.5697,60.43956043956044,24.175824175824175,MUNI_soft-mole-rose
mythos_preview_multi_target_trem2_rank09,Anthropic,0.9929,0.7537,76.27118644067797,27.11864406779661,MUNI_silver-hawk-frost
mythos_preview_multi_target_trem2_rank10,Anthropic,0.9832,0.5848,54.94505494505494,27.47252747252747,MUNI_silver-hawk-frost
mythos_preview_multi_target_trem2_rank11,Anthropic,0.9592,0.527,67.6056338028169,29.577464788732396,MUNI_quiet-quail-fern
mythos_preview_multi_target_trem2_rank12,Anthropic,0.9309,0.5531,60.869565217391305,22.608695652173914,MUNI_gentle-lion-rose
mythos_preview_multi_target_trem2_rank13,Anthropic,0.9734,0.6004,61.53846153846154,27.692307692307693,MUNI_soft-mole-rose
mythos_preview_multi_target_trem2_rank14,Anthropic,0.9592,0.5413,67.6056338028169,29.577464788732396,MUNI_quiet-quail-fern
mythos_preview_multi_target_trem2_rank15,Anthropic,0.9679,0.5955,60.43956043956044,19.78021978021978,MUNI_quiet-quail-fern
mythos_preview_multi_target_trem2_rank16,Anthropic,0.9651,0.6971,51.21951219512195,23.333333333333332,MUNI_silver-hawk-frost
mythos_preview_multi_target_trem2_rank17,Anthropic,0.9734,0.5998,61.53846153846154,26.153846153846153,MUNI_soft-mole-rose
mythos_preview_multi_target_trem2_rank18,Anthropic,0.8412,0.5309,42.25352112676056,21.428571428571427,MUNI_shy-boar-vine
mythos_preview_multi_target_trem2_rank19,Anthropic,0.8959,0.8161,37.3134328358209,25.28735632183908,MUNI_quiet-quail-fern
mythos_preview_multi_target_trem2_rank20,Anthropic,0.7382,0.6365,43.66197183098591,30.107526881720432,MUNI_shy-boar-vine
mythos_preview_multi_target_trem2_rank21,Anthropic,0.9309,0.5575,60.869565217391305,23.47826086956522,MUNI_noble-boar-reed
mythos_preview_multi_target_trem2_rank22,Anthropic,0.9433,0.4794,60.16949152542373,25.423728813559322,MUNI_gentle-lion-rose
mythos_preview_multi_target_trem2_rank23,Anthropic,0.9433,0.4924,60.16949152542373,23.728813559322035,MUNI_noble-boar-reed
mythos_preview_multi_target_trem2_rank24,Anthropic,0.8354,0.649,38.57142857142857,22.727272727272727,MUNI_soft-mole-rose
mythos_preview_multi_target_trem2_rank25,Anthropic,0.8961,0.529,39.436619718309856,22.535211267605632,MUNI_quiet-quail-fern
mythos_preview_multi_target_trem2_rank26,Anthropic,0.9639,0.7286,78.125,25.0,MUNI_gentle-lion-rose
mythos_preview_multi_target_trem2_rank27,Anthropic,0.6314,0.5753,40.84507042253521,24.705882352941178,MUNI_noble-bison-opal
mythos_preview_multi_target_trem2_rank28,Anthropic,0.7577,0.6414,43.28358208955224,26.865671641791046,MUNI_deep-gecko-maple
mythos_preview_multi_target_trem2_rank29,Anthropic,0.9639,0.7247,78.125,28.125,MUNI_noble-bison-opal
mythos_preview_multi_target_trem2_rank30,Anthropic,0.515,0.3263,28.571428571428573,24.390243902439025,MUNI_silver-hawk-frost
mythos_preview_single_target_trem2_rank01,Anthropic,0.9734,0.718,62.6865671641791,26.865671641791046,MUNI_deep-gecko-maple
mythos_preview_single_target_trem2_rank02,Anthropic,0.9915,0.7512,82.89473684210526,25.0,MUNI_quiet-quail-fern
mythos_preview_single_target_trem2_rank03,Anthropic,0.9915,0.7502,82.89473684210526,23.68421052631579,MUNI_quiet-quail-fern
mythos_preview_single_target_trem2_rank04,Anthropic,0.9789,0.6337,67.74193548387096,30.107526881720432,MUNI_noble-boar-reed
mythos_preview_single_target_trem2_rank05,Anthropic,0.9934,0.5697,75.0,25.0,MUNI_deep-gecko-maple
mythos_preview_single_target_trem2_rank06,Anthropic,0.9304,0.6514,70.0,31.428571428571427,MUNI_shy-boar-vine
mythos_preview_single_target_trem2_rank07,Anthropic,0.9934,0.5685,75.0,27.63157894736842,MUNI_deep-gecko-maple
mythos_preview_single_target_trem2_rank08,Anthropic,0.967,0.557,68.42105263157895,28.94736842105263,MUNI_deep-gecko-maple
mythos_preview_single_target_trem2_rank09,Anthropic,0.967,0.5591,68.42105263157895,25.0,MUNI_gentle-lion-rose
mythos_preview_single_target_trem2_rank10,Anthropic,0.9826,0.7298,66.66666666666667,31.746031746031747,MUNI_noble-boar-reed
mythos_preview_single_target_trem2_rank11,Anthropic,0.9864,0.8134,51.282051282051285,26.923076923076923,MUNI_silver-hawk-frost
mythos_preview_single_target_trem2_rank12,Anthropic,0.9787,0.7111,67.14285714285714,27.142857142857142,MUNI_noble-boar-reed
mythos_preview_single_target_trem2_rank13,Anthropic,0.9734,0.6899,62.6865671641791,32.83582089552239,MUNI_soft-mole-rose
mythos_preview_single_target_trem2_rank14,Anthropic,0.9787,0.6153,67.14285714285714,32.857142857142854,MUNI_noble-bison-opal
mythos_preview_single_target_trem2_rank15,Anthropic,0.8441,0.81,43.333333333333336,21.428571428571427,MUNI_quiet-quail-fern
