fam,u,v,tm,sid,len_u,len_v,same_len,both_bind,n_bind,wf
bb_e096072452,mythos_preview_multi_target_trem2_rank01,mythos_preview_multi_target_trem2_rank02,0.9903,62.31884057971015,69,69,True,True,2,mythos_preview_multi
bb_5b5a79a849,mythos_preview_multi_target_trem2_rank03,mythos_preview_multi_target_trem2_rank07,0.9842,70.11494252873563,87,87,True,True,2,mythos_preview_multi
bb_828ba1735f,mythos_preview_multi_target_trem2_rank04,mythos_preview_multi_target_trem2_rank05,0.9874,70.0,120,120,True,True,2,mythos_preview_multi
bb_b808dbdadd,mythos_preview_multi_target_trem2_rank06,mythos_preview_multi_target_trem2_rank09,0.9929,76.27118644067797,59,59,True,False,1,mythos_preview_multi
bb_27df7dd200,mythos_preview_multi_target_trem2_rank08,mythos_preview_multi_target_trem2_rank10,0.9832,49.45054945054945,91,91,True,True,2,mythos_preview_multi
bb_bfaed77db0,mythos_preview_multi_target_trem2_rank11,mythos_preview_multi_target_trem2_rank14,0.9592,67.6056338028169,71,71,True,True,2,mythos_preview_multi
bb_d3f3907247,mythos_preview_multi_target_trem2_rank12,mythos_preview_multi_target_trem2_rank21,0.9309,60.869565217391305,115,115,True,True,2,mythos_preview_multi
bb_707f86ecce,mythos_preview_multi_target_trem2_rank22,mythos_preview_multi_target_trem2_rank23,0.9433,60.16949152542373,118,118,True,True,2,mythos_preview_multi
bb_88c3422c61,mythos_preview_multi_target_trem2_rank26,mythos_preview_multi_target_trem2_rank29,0.9639,78.125,64,64,True,False,0,mythos_preview_multi
bb_860df8ff3f,mythos_preview_single_target_trem2_rank01,mythos_preview_single_target_trem2_rank13,0.9734,62.6865671641791,67,67,True,True,2,mythos_preview_single
bb_6a1a2bd1cf,mythos_preview_single_target_trem2_rank02,mythos_preview_single_target_trem2_rank03,0.9915,82.89473684210526,76,76,True,True,2,mythos_preview_single
bb_abb99afe20,mythos_preview_single_target_trem2_rank04,mythos_preview_single_target_trem2_rank17,0.9789,67.74193548387096,93,93,True,True,2,mythos_preview_single
bb_db372b7b9c,mythos_preview_single_target_trem2_rank05,mythos_preview_single_target_trem2_rank07,0.9934,75.0,76,76,True,True,2,mythos_preview_single
bb_5aae4c6c7a,mythos_preview_single_target_trem2_rank06,mythos_preview_single_target_trem2_rank19,0.9304,70.0,70,70,True,True,2,mythos_preview_single
bb_9e854f3762,mythos_preview_single_target_trem2_rank08,mythos_preview_single_target_trem2_rank09,0.967,68.42105263157895,76,76,True,True,2,mythos_preview_single
bb_19e78e70ae,mythos_preview_single_target_trem2_rank10,mythos_preview_single_target_trem2_rank18,0.9826,66.66666666666667,63,63,True,True,2,mythos_preview_single
bb_a99e41e355,mythos_preview_single_target_trem2_rank11,mythos_preview_single_target_trem2_rank16,0.9864,51.282051282051285,78,78,True,True,2,mythos_preview_single
bb_dd1aec138d,mythos_preview_single_target_trem2_rank12,mythos_preview_single_target_trem2_rank14,0.9787,67.14285714285714,70,70,True,True,2,mythos_preview_single
bb_76a18a3d09,opus_4_8_multi_target_trem2_rank01,opus_4_8_multi_target_trem2_rank03,0.9769,70.4225352112676,71,71,True,True,2,opus_4_8_multi
bb_3937d9a175,opus_4_8_multi_target_trem2_rank02,opus_4_8_multi_target_trem2_rank15,0.9825,87.32394366197182,71,71,True,True,2,opus_4_8_multi
bb_89819380d9,opus_4_8_multi_target_trem2_rank04,opus_4_8_multi_target_trem2_rank13,0.9477,67.6056338028169,71,71,True,True,2,opus_4_8_multi
bb_cb73571d64,opus_4_8_multi_target_trem2_rank05,opus_4_8_multi_target_trem2_rank08,0.9882,59.15492957746479,71,71,True,True,2,opus_4_8_multi
bb_f9bf263ab0,opus_4_8_multi_target_trem2_rank06,opus_4_8_multi_target_trem2_rank10,0.9899,72.94117647058823,85,85,True,True,2,opus_4_8_multi
bb_84e6df951a,opus_4_8_multi_target_trem2_rank07,opus_4_8_multi_target_trem2_rank11,0.9888,59.15492957746479,71,71,True,True,2,opus_4_8_multi
bb_2be5c20411,opus_4_8_multi_target_trem2_rank09,opus_4_8_multi_target_trem2_rank14,0.9613,69.01408450704226,71,71,True,True,2,opus_4_8_multi
bb_dba1a1bfe3,opus_4_8_multi_target_trem2_rank12,opus_4_8_multi_target_trem2_rank17,0.6767,73.5632183908046,87,87,True,True,2,opus_4_8_multi
bb_a651b8453b,opus_4_8_multi_target_trem2_rank16,opus_4_8_multi_target_trem2_rank23,0.9374,71.42857142857143,56,56,True,True,2,opus_4_8_multi
bb_07594eb5cb,opus_4_8_multi_target_trem2_rank18,opus_4_8_multi_target_trem2_rank21,0.9816,61.1764705882353,85,85,True,True,2,opus_4_8_multi
bb_58d3ed5e56,opus_4_8_multi_target_trem2_rank22,opus_4_8_multi_target_trem2_rank26,0.9613,82.27848101265823,79,79,True,False,1,opus_4_8_multi
